series_id,series_name,all_names,trust,cik,ticker,all_tickers,first_year,last_year,leverage_parsed,leverage_note,reset,underlying,underlying_note,category,active_2026,has_ticker,n_obs,beta,r2,resid_sd,beta_first60,beta_last60,beta_roll_min,beta_roll_max,price_ticker,first_date,last_date,med_dollar_vol,lev_check
S000091099,KraneShares 2x Long ASML Daily ETF,KraneShares 2x Long ASML Daily ETF,Krane Shares Trust,1547576,KASM,KASM,2025,2026,2.0,number,daily,ASML,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000092925,Direxion Daily ASML Bull 2X ETF,Direxion Daily ASML Bull 2X Shares | Direxion Daily ASML Bull 2X ETF,Direxion Shares ETF Trust,1424958,ASMU,ASMU,2025,2026,2.0,number,daily,ASML,ticker token,single_stock,True,True,153.0,1.9897452954752777,0.9959112053300908,0.004016307475775158,1.9846107282685046,1.9974024624549453,1.9754277381207208,1.9987498380716493,ASMU,2026-02-11,2026-09-23,2649100.5586624146,ok
S000093731,Tradr 2X Long ASTS Daily ETF,Tradr 2X Long ASTS Daily ETF,Investment Managers Series Trust II,1587982,ASTX,ASTX,2025,2026,2.0,number,daily,ASTS,ticker token,single_stock,True,True,301.0,1.988364864369996,0.9989964733364464,0.004114397861624146,1.9962400742148037,1.9836188082133013,1.9772811767110143,1.9977378561712162,ASTX,2025-07-11,2026-09-23,46973039.121866226,ok
S000096439,T-REX 2X Long ASTS Daily Target ETF,T-REX 2X Long ASTS Daily Target ETF,ETF Opportunities Trust,1771146,ASTU,ASTU,2026,2026,2.0,number,daily,ASTS,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000103136,Defiance Daily Target 2X Long ASTS ETF,Defiance Daily Target 2X Long ASTS ETF,Tidal Trust II,1924868,ASTY,ASTY,2026,2026,2.0,number,daily,ASTS,ticker token,single_stock,True,True,84.0,1.9953044145798626,0.9988813433923568,0.004412095383859871,1.9921657546852016,1.988775587345328,1.9822515444751523,1.9947987875132516,ASTY,2026-05-21,2026-09-23,1016112.4774217606,ok
S000093890,T-REX 2X LONG AUR DAILY TARGET ETF,T-REX 2X LONG AUR DAILY TARGET ETF,ETF Opportunities Trust,1771146,AURL,AURL,2025,2026,2.0,number,daily,AUR,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000093891,T-REX 2X LONG AVAV DAILY TARGET ETF,T-REX 2X LONG AVAV DAILY TARGET ETF,ETF Opportunities Trust,1771146,AVUP,AVUP,2025,2026,2.0,number,daily,AVAV,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000087484,T-REX 2X INVERSE AVGO DAILY TARGET ETF,T-REX 2X INVERSE AVGO DAILY TARGET ETF,ETF Opportunities Trust,1771146,AVGD,AVGD,2025,2026,-2.0,number,daily,AVGO,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000088298,GraniteShares 2x Short AVGO Daily ETF,GraniteShares 2x Short AVGO Daily ETF,GraniteShares ETF Trust,1689873,AVGS,AVGS,2025,2026,-2.0,number,daily,AVGO,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000088060,Direxion Daily AVGO Bear 1X ETF,Direxion Daily AVGO Bear 1X Shares | Direxion Daily AVGO Bear 1X ETF,Direxion Shares ETF Trust,1424958,AVS,AVS,2025,2026,-1.0,number,daily,AVGO,ticker token,single_stock,True,True,470.0,-0.9929135790715125,0.9832060928889322,0.004344847827783472,-0.9786653076194267,-1.0006177029741765,-1.0117850319544093,-0.9769994343621308,AVS,2024-10-10,2026-09-23,91859676.86493397,ok
